Section,Item,What it is / purpose,When needed,Example,Your value,Provided by,Notes
VPC networking - Edge cluster,Per Edge node - vSphere cluster / resource pool,Resource pool optional.,Day-N (if in scope),sfo-w01-cl01,,Architect,
VPC networking - Edge cluster,Per Edge node - Edge host affinity,Yes/No. Worth a deliberate choice on a stretched cluster - it is what keeps both Edge nodes off the same site.,Day-N (if in scope),No,,Architect,
VPC networking - Edge cluster,Per Edge node - datastore,,Day-N (if in scope),sfo-w01-cl01-ds01,,Architect,
VPC networking - Edge cluster,Per Edge node - management IP CIDR + gateway + port group,Unique management IP CIDR per node.,Day-N (if in scope),"192.168.1.11/24, gw 192.168.1.1, pg sfo-w01-cl01-mgmt-pg01",,Architect,
VPC networking - Edge cluster,Per Edge node - TEP VLAN ID,,Day-N (if in scope),20,,Network,
VPC networking - Edge cluster,Per Edge node - TEP IP allocation,"DHCP, IP pool, or static list - with gateway and subnet mask.",Day-N (if in scope),"static 172.16.8.10-172.16.8.11, gw 172.16.8.254, mask 255.255.255.0",,Network / Architect,
VPC networking - Edge cluster,Per Edge node - active/standby pNICs + overlay networking,,Day-N (if in scope),vmnic4 / vmnic5,,Architect,
VPC networking - Tier-0 / BGP,Gateway name,,Day-N (if in scope),sfo-w01-cl01-gw01,,Architect,docs/10 section 3.2.
VPC networking - Tier-0 / BGP,High availability mode,Centralized Transit Gateway is Active/Standby (it carries stateful services such as NAT). The Tier-0 beneath it is Active/Active. The guided wizard sets Active/Standby.,Day-N (if in scope),Active Standby,,Architect,docs/10 section 3.2 (documented).
VPC networking - Tier-0 / BGP,Gateway routing type,,Day-N (if in scope),BGP,,Architect,
VPC networking - Tier-0 / BGP,Local ASN,Your NSX Edge BGP AS number.,Day-N (if in scope),65000,,Architect / Platform,
VPC networking - Tier-0 / BGP,Per uplink - gateway interface VLAN + CIDR,"One block per Edge-node uplink (first + optional secondary, per node).",Day-N (if in scope),"VLAN 1117, 10.11.17.2/24",,Network / Architect,
VPC networking - Tier-0 / BGP,Per uplink - BGP peer IP,,Day-N (if in scope),10.11.17.1,,Network,"Peer IP is a host address, no mask."
VPC networking - Tier-0 / BGP,Per uplink - BGP peer ASN,,Day-N (if in scope),65111,,Network,Get from the network team in writing before the day.
VPC networking - Tier-0 / BGP,Per uplink - BGP peer password (MD5),Optional peer authentication - only if BGP auth is used.,Day-N (if in scope),(leave blank if not used),,Network,A silent BGP session is the most common reason this stage stalls.
VPC networking - Tier-0 / BGP,Per uplink - BFD,Fast (sub-second) failure detection on the peering - recommended.,Day-N (if in scope),Yes,,Network,
VPC networking - Tier-0 / BGP,Per uplink - MTU,Valid range 1600-9000.,Day-N (if in scope),1700,,Network,
VPC networking - Tier-0 / BGP,Route redistribution / advertisement,Confirm the Tier-0 advertises the expected prefixes in BOTH directions. The guided CTGW wizard sets redistribution; a hand-built Tier-0 does not (BGP comes up Established advertising nothing).,Day-N (if in scope),advertised + received both non-empty,,Network / Architect,docs/10 section 4.5 'routing tail'.
VPC networking - IP blocks,VPC External / Public IP Blocks,"Advertised CIDRs that allow outside connectivity to VPC workloads. Must be routable and advertised upstream. With Avi in VPC mode this block is ALSO the load-balancer VIP source (Avi IPAM is not used in VPC) - so the Supervisor API VIP and every LoadBalancer Service VIP come from here. Must exist and have free space before activation, and be referenced by the VPC Connectivity Profile.",Day-N (if in scope),10.1.0.0/24,,Architect / Network,docs/10 section 3.3 / 3.4. No documented minimum prefix; size for the VIPs you expect.
VPC networking - IP blocks,Private (Transit Gateway) IP Block,Private CIDRs for inter-VPC communication within one NSX Project (Tenant). Not routable north-south. One per NSX Project.,Day-N (if in scope),172.25.0.0/16,,Architect,Documented as /16 in both 9.0 and 9.1. Field reports: a /24 makes the deployment hang at the transit-gateway stage rather than fail cleanly - size /16.
VPC networking - IP blocks,Private (VPC) CIDR,Private CIDR behind NAT in the VPC. Not routable. Can be the same for each VPC in the same NSX Project.,Day-N (if in scope),172.26.0.0/16,,Architect,9.0 requirements page: /16.
VPC networking - IP blocks,Default Outbound NAT (decision),"On = workloads/pods SNAT outbound via an external IP (then set 'External IP Block for Default Outbound NAT'). Off = workloads egress with their own private/transit IPs, which must be routable/advertised. Does NOT affect the Supervisor control plane (rides the management network) or the VIP source.",Day-N (if in scope),Off (routed estate),,Architect,"docs/10 section 3.4 (field-verified). If On but NAT block unset, the profile shows (incompatible)."
VPC networking - IP blocks,Attach External IP Block to the VPC Connectivity Profile,"The block must both exist and be referenced by the Default VPC Connectivity Profile before activation, or the wizard marks the profile (incompatible) and the External IP Blocks table shows 'No items found'. Relaunch the wizard after any NSX/profile change - it caches NSX state.",Day-N (if in scope),"attached, Edge Cluster set",,Architect,docs/10 section 3.4.
NSX project / tenant,NSX Project / Tenant name (System / default),The first VPC created for the Supervisor lives in the System (default) NSX Project.,Day-N (if in scope),System,,Architect,One Transit Gateway per NSX Project -> one Private Transit Gateway CIDR per Project.
NSX project / tenant,Additional tenant - project name,Needed for every additional workload tenant (new NSX Project / new VCF Automation Org). Private Transit Gateway CIDR and Private CIDR can be re-used.,Day-N (if in scope),project-1,,Architect,From Albin's sheet - only if multi-tenant VCFA is in scope.
NSX project / tenant,Additional tenant - Transit Gateway IP space name,Name of the IP Address Block for Transit Gateway IP addresses in VCFA / NSX.,Day-N (if in scope),private-tgw-01,,Architect,
NSX project / tenant,Additional tenant - External IP Block,Per-tenant routable external block.,Day-N (if in scope),192.168.41.0/24,,Architect / Network,
Load balancer,Load balancer choice (decision),"Supervisor activation requires A load balancer, not specifically Avi. Options on the VPC path: the built-in NSX Edge load balancer (no extra appliance/licence/failure domain) OR Avi. Exclusive: committing the Supervisor to the VCF Native LB rules Avi out for VPCs under it. Choose Avi only for a reason - existing Avi estate, L7 ingress, or a VCFA instance already fronted by it.",Day-N (if in scope),NSX Edge LB,,Architect,"docs/10 section 1.2. If you pick the built-in LB, skip the Avi rows below."
Load balancer,Avi - deployment model,"Standalone / NSX-native Avi, or VCF-Operations-managed. On 9.0 the manual (standalone) path is the documented one.",Day-N (if in scope),Standalone,,Architect,docs/10 section 4.
Load balancer,Avi - Controller cluster placement,"Always the management domain - one set per NSX instance, never per workload domain. 3-node cluster = 4 IPs (one per node + cluster VIP) from the management network. Must be deployed BEFORE Supervisor activation.",Day-N (if in scope),"sfo-m01-avi01 cluster, mgmt domain",,Architect,docs/10 section 4.1 / 4.2.
Load balancer,Avi - Controller version,Avi Controller 31.1.1 or later.,Day-N (if in scope),>= 31.1.1,,Architect,docs/10 section 4.2 (documented).
Load balancer,Avi - licence,Enterprise or Enterprise with Cloud Services. Controller starts in evaluation mode and must be moved off it. A Controller that cannot have licences attached blocks activation as hard as one never deployed.,Day-N (if in scope),Enterprise,,Architect / Security,"9.1: new subscription licence file format (replaces 25-char serial keys), 90-day grace on the move to 32.1.1 - settle any migration before the deployment day."
Load balancer,Avi - Controller endpoint that goes in the cert SAN,Whatever value you give the Supervisor wizard as the Avi Controller endpoint MUST appear in the Controller certificate's SAN. Put both the FQDN and the IP in the SAN (single node: its FQDN+IP; cluster: the VIP FQDN+VIP IP). A self-signed Controller cert is the low-risk path; a private-CA-signed one can hang the deployment with the Avi side silently unapplied.,Day-N (if in scope),avi01.rainpole.io + 10.11.11.30 in SAN,,Architect / PKI,docs/10 section 4.4. Standalone Avi only - on VCF-Ops-managed Avi the cert is generated for you.
Load balancer,Avi - Service Engine Group (Default-Group),"Set the Default-Group correctly BEFORE activation - AKO clones it per Supervisor and will not retro-apply later changes. Set HA mode, max SE count, VS placement (Compact/Distributed), and the vSphere STORAGE POLICY (SEs are VMs - no policy, nowhere to deploy; if not pinned to shared storage, SEs land on host-local datastores and SE HA / host maintenance break).",Day-N (if in scope),"Default-Group: N+M, storage policy sfo-w01-cl01-avi-se",,Architect,"docs/10 section 4.3 / 4.5. Storage policy lives on the SE Group, not the Cloud object."
Load balancer,Avi - vCenter Enhanced Linked Mode,You CANNOT deploy the Avi Controller in an ELM vCenter deployment - single vCenter only. Check against your vCenter topology before committing to Avi.,Day-N (if in scope),single vCenter - OK,,Architect,docs/10 section 4.6 (documented). Decisive in a linked-mode VCF estate.
Supervisor - identity & sizing,Supervisor name,,Day-N (if in scope),sfo-w01-cl01-sn01,,Architect,"docs/10 section 6, screen 2."
Supervisor - identity & sizing,VCF domain / destination,The workload domain and cluster the Supervisor is enabled on.,Day-N (if in scope),"Workload Domain sfo-w01, cluster sfo-w01-cl01",,Architect,
Supervisor - identity & sizing,Management port group,The port group carrying the Supervisor management network (control-plane VMs <-> vCenter / host vmkernel).,Day-N (if in scope),sfo-w01-vds-001-pg-vm-mgmt,,Network / Architect,
Supervisor - identity & sizing,API Server DNS name (Supervisor FQDN),"The FQDN clients use to reach the Kubernetes API server. IRREVERSIBLE-ish: FQDN login only works if this was set at enablement. It resolves to the LOAD-BALANCER VIP, NOT the management network. Enter the FQDN in the wizard now (it need not resolve yet) -> activate -> read the assigned API/Control-Plane VIP -> create the A and PTR records. The LB IP is added to the cert automatically - do not type it in this field.",Day-N (if in scope),sfo-w01-cl01-sn01.rainpole.io -> API VIP (from External IP Block),,Architect / AD-DNS team,docs/10 section 6 (field-verified). Add to the Step 1 DNS table.
Supervisor - identity & sizing,Supervisor Control Plane size,Tiny (2 vCPU / 8 GB) / Small (4 / 16) / Medium (8 / 16) / Large (16 / 32). Can only scale UP later.,Day-N (if in scope),Small,,Architect,"docs/10 section 6, screen 6."
Supervisor - management network,IP assignment mode,DHCP or Static. Static is standard.,Day-N (if in scope),Static,,Architect,"docs/10 section 6, screen 4."
Supervisor - management network,Control-plane IP range (5 consecutive),5 consecutive static IPs on the management network: 3 control-plane VMs + 1 floating IP + 1 held for rolling upgrade. Ping them - do not trust the spreadsheet.,Day-N (if in scope),10.6.209.10-10.6.209.14,,Architect / Network,docs/10 section 2. Distinct from the Tier-0 uplink 'block of 5 IPs'.
Supervisor - management network,Subnet mask + gateway,For the management network above.,Day-N (if in scope),255.255.255.0 / 10.6.209.1,,Network,Keep sample values internally consistent with the IP range.
Supervisor - management network,DNS servers,Required if vCenter uses an FQDN.,Day-N (if in scope),"10.11.10.4, 10.11.10.5",,AD-DNS team,
Supervisor - management network,DNS search domains,,Day-N (if in scope),rainpole.io,,AD-DNS team,
Supervisor - management network,NTP servers,,Day-N (if in scope),"ntp1.rainpole.io, ntp2.rainpole.io",,Network,Same sources as the ESX hosts + vCenter.
Supervisor - management network,Different subnet from workload network,The Supervisor management network and the workload network must be on different subnets.,Day-N (if in scope),mgmt 10.6.209.0/24 vs workload VPC blocks,,Architect,docs/10 section 2 (documented).
Supervisor - service CIDR,Supervisor Service CIDR,"Kubernetes service IP range for the Supervisor itself. Not routable; must not be known outside the cluster; must not overlap other Supervisors, the fleet networks, or the VPC blocks. Documented as /16; the 10.96.0.0/24 default works for small clusters.",Day-N (if in scope),10.96.0.0/16,,Architect,docs/10 section 2 / section 6 screen 5. Distinct from the VKS guest-cluster Service CIDR below.
Supervisor - storage policies,Control-plane VM storage policy,Storage policy for Supervisor control-plane VM placement - compatible with the target datastore. The activation wizard asks for this on the Storage screen; use the same policy for all Supervisor components.,Day-N (if in scope),sfo-w01-cl01-supervisor,,Architect / Platform,"docs/10 section 6, screen 3."
Supervisor - storage policies,VKS node storage policy + datastore(s) + tag,Storage policy for VKS Kubernetes node VMs. Tag the datastores and build the policy from the tag.,Day-N (if in scope),sfo-w01-cl01-vks-nodes / ds-01 / tag vks:nodes,,Architect / Platform,From Albin's sheet.
Supervisor - storage policies,VKS persistent-volume storage policy + datastore(s) + tag,Storage policy for VKS persistent volumes.,Day-N (if in scope),sfo-w01-cl01-vks-pvs / ds-02 / tag vks:pvs,,Architect / Platform,
Content libraries & depot,Supervisor Images content library,HARD PREREQUISITE to enablement. Since VCF 9 the Supervisor release images ship separately from vCenter. Create a subscribed (or self-managed) content library pointed at the Software Depot and ASSIGN it under Supervisor Management > Content Distribution > Supervisor Images Library > Assign. The activation wizard never asks about it - that is why it catches people out. Do not delete/edit it while assigned.,Day-N (if in scope),"Supervisor Releases library, assigned",,Architect / Depot,"docs/10 section 5.1. Subscription path component is SUPERVISOR, not VKR."
Content libraries & depot,Subscription URL (Supervisor Images),9.0 documented URL: https://wp-content.broadcom.com/supervisor/v1/latest/lib.json (public CDN; can be via proxy). Air-gapped: the vCenter-publisher flow.,Day-N (if in scope),https://wp-content.broadcom.com/supervisor/v1/latest/lib.json,,Depot / Architect,docs/10 section 5.1 / 5.3.
Content libraries & depot,VKS content library,Kubernetes releases for VKS guest clusters. NOT a prerequisite to enablement. 9.0 default subscription URL: https://wp-content.broadcom.com/v2/latest/lib.json (public CDN; can be via proxy). Associated per-Supervisor; changeable after activation.,Day-N (if in scope),https://wp-content.broadcom.com/v2/latest/lib.json,,Architect,docs/10 section 5.2.
VKS guest clusters (post-enablement),Note,These inputs are for VKS guest (Tanzu Kubernetes) clusters created AFTER the Supervisor is running - not needed to activate the Supervisor. Collect them with the customer so the first guest cluster is not blocked.,Day-N (if in scope),,,Architect,docs/10 section 5.5.
VKS guest clusters (post-enablement),VKS version,Target vSphere Kubernetes Service version.,Day-N (if in scope),3.3.x,,Architect,Association requires vSphere 9.0+ and VKS 3.3+.
VKS guest clusters (post-enablement),Guest-cluster Pod CIDR,Overlay network for pods inside a guest cluster (CNI / Antrea). Not routable; not known outside the guest cluster.,Day-N (if in scope),172.16.0.0/16,,Architect,Distinct from the Supervisor Service CIDR.
VKS guest clusters (post-enablement),Guest-cluster Service CIDR,Overlay network for services inside a guest cluster. Not routable; not known outside the guest cluster.,Day-N (if in scope),192.168.0.0/16,,Architect,
VKS guest clusters (post-enablement),Control-plane / worker counts - non-prod,Default node counts for non-production guest clusters.,Day-N (if in scope),1 control plane / 3 workers,,Architect,
VKS guest clusters (post-enablement),Control-plane / worker counts - prod,Default node counts for production guest clusters.,Day-N (if in scope),3 control plane / 5 workers,,Architect,
VKS guest clusters (post-enablement),Containerd storage size,Per-node containerd disk size.,Day-N (if in scope),30 GB,,Architect,
VKS guest clusters (post-enablement),CA trust,Trust anchor injected into guest clusters (e.g. internal enterprise CA) so image pulls / webhooks trust the customer PKI.,Day-N (if in scope),internal-ca,,PKI / Architect,
VKS guest clusters (post-enablement),CNI,Container Network Interface for guest clusters.,Day-N (if in scope),Antrea,,Architect,
VKS guest clusters (post-enablement),CNI service type,Antrea service exposure mode.,Day-N (if in scope),NodePortLocal,,Architect,
VKS guest clusters (post-enablement),Default ingress controller,L7 ingress for guest clusters. AKO implies Avi is the load balancer.,Day-N (if in scope),AKO (Avi Kubernetes Operator),,Architect,"If the built-in NSX Edge LB was chosen, this is not AKO."
Deployment tasks (ordered),1. Verify pre-flight - platform,"DRS Fully Automated, HA, lowercase host names, host count/size, NTP+DNS, storage policies chosen, WLD healthy.",Day-N (if in scope),[ ],,Platform / Architect,docs/10 section 2.
Deployment tasks (ordered),2. Create vSphere Zones in vCenter,One cluster per zone; single vs three-zone decided; all clusters in a zone on the same vDS. IRREVERSIBLE choice.,Day-N (if in scope),[ ],,Architect,vCenter > vSphere Zones > Add New vSphere Zone.
Deployment tasks (ordered),3. Build / verify the Centralized Transit Gateway,"Edge cluster (Large, 2 nodes) + Tier-0 + BGP established both directions + VPC External IP Block + Private (TGW) IP Block, MTU 1700.",Day-N (if in scope),[ ],,Architect / Network,docs/10 section 3.
Deployment tasks (ordered),4. Attach External IP Block to the Default VPC Connectivity Profile,Confirm the profile is not (incompatible); set the Edge Cluster; relaunch the wizard after any NSX change.,Day-N (if in scope),[ ],,Architect,docs/10 section 3.4.
Deployment tasks (ordered),5. Load balancer ready,"Built-in NSX Edge LB: nothing to build. Avi: Controller cluster healthy in the mgmt domain, licensed, cert SAN correct, SE Group Default-Group + storage policy set, (VCF-Ops-managed) SE management network + SE content library done.",Day-N (if in scope),[ ],,Architect,docs/10 section 4.
Deployment tasks (ordered),6. Create + assign the Supervisor Images content library,And confirm the Software Depot actually holds the SUPERVISOR content.,Day-N (if in scope),[ ],,Architect / Depot,docs/10 section 5.1 / 5.4.
Deployment tasks (ordered),7. Configure datastore tags + storage policies,"Node placement, PV placement, and the Supervisor control-plane policy.",Day-N (if in scope),[ ],,Architect / Platform,
Deployment tasks (ordered),8. Verify Default VPC Connectivity Profile - External + Private (TGW) IP Blocks,In NSX.,Day-N (if in scope),[ ],,Architect,
Deployment tasks (ordered),9. Initiate Supervisor enablement,"vSphere Client > Workload Management > Get Started, on the existing NSX-enabled workload domain.",Day-N (if in scope),[ ],,Architect,docs/10 section 6.
Deployment tasks (ordered),10. Wizard - vCenter + Networking Stack,Networking Stack = VCF Networking with VPC.,Day-N (if in scope),[ ],,Architect,Screen 1.
Deployment tasks (ordered),11. Wizard - Supervisor Location,"Name, data center, HA, and either three vSphere zones or one compatible zone. Single vs multi-zone cannot be changed later.",Day-N (if in scope),[ ],,Architect,Screen 2.
Deployment tasks (ordered),12. Wizard - Storage,Storage policy for control-plane VM placement.,Day-N (if in scope),[ ],,Architect,Screen 3.
Deployment tasks (ordered),13. Wizard - Management Network,Static; management port group; the 5 consecutive IPs / floating IP; subnet mask; gateway; DNS servers; DNS search domains; NTP servers.,Day-N (if in scope),[ ],,Architect,Screen 4.
Deployment tasks (ordered),14. Wizard - Workload Network,NSX Project; VPC Connectivity Profile; External IP Blocks; Private (Transit Gateway) IP Blocks; Private (VPC) CIDRs; Service CIDR; DNS; NTP.,Day-N (if in scope),[ ],,Architect,Screen 5. Empty 'VPC Connectivity Profile' dropdown = no Edge/Tier-0/profile.
Deployment tasks (ordered),15. Wizard - Advanced Settings,"Control Plane size; API Server DNS Names (the FQDN, resolving to the LB VIP - set it now); Export Configuration (do it every time).",Day-N (if in scope),[ ],,Architect,Screen 6.
Deployment tasks (ordered),16. Read the assigned API / Control-Plane VIP,"From the Supervisor summary, after activation reaches Running.",Day-N (if in scope),[ ],,Architect,docs/10 section 6 / section 7.1 step 0.
Deployment tasks (ordered),17. Create DNS A + PTR for the Supervisor FQDN,"FQDN -> API VIP, plus the reverse record.",Day-N (if in scope),[ ],,AD-DNS team,
Deployment tasks (ordered),18. Verify VIP <-> backend + client <-> VIP over 6443 and 443,curl -k https://<API-VIP>:6443/healthz -> ok; then by FQDN.,Day-N (if in scope),[ ],,Architect,docs/10 section 7.1 steps 2-3.
Deployment tasks (ordered),19. Install kubectl + set up the VCF CLI,vcf context create --endpoint <fqdn> --username <sso-user> --ca-certificate <file>; then vcf context list; kubectl get nodes.,Day-N (if in scope),[ ],,Architect,docs/10 section 7 / 7.1 step 4. VCF CLI in both 9.0 and 9.1; the kubectl-vsphere plugin naming is gone in 9.1.
Deployment tasks (ordered),20. Verify the load balancer in use,kubectl get gateways.networking.x-k8s.io -n kube-system kube-apiserver-lb-svc,Day-N (if in scope),[ ],,Architect,
Deployment tasks (ordered),21. Namespace + test workload + LoadBalancer Service from outside,"Prove scheduling, storage, image path, and the north-south VIP chain.",Day-N (if in scope),[ ],,Architect,docs/10 section 7.1 steps 5-7.
Deployment tasks (ordered),22. Replace the default Supervisor certificate,Swap for a customer-CA-trusted certificate if required.,Day-N (if in scope),[ ],,Architect / PKI,"This is the Supervisor cert, not the Avi Controller cert."
Deployment tasks (ordered),23. Verify / upgrade VKS,To the VKS version in this sheet.,Day-N (if in scope),[ ],,Architect,
Deployment tasks (ordered),24. Operator tooling,"kubectx, k9s, kubectl alias 'k' on the jump host, as the team prefers.",Day-N (if in scope),[ ],,Architect,"Convenience, not required."
Firewall flows,COLUMN KEY for this section,In the Firewall flows rows the columns are re-used: Item = Source ; 'What it is / purpose' = Destination ; 'When needed' = Port ; Example = Protocol ; 'Provided by' = Optional/Mandatory ; fill 'Your value' with Implemented? (Y/N) ; Notes = purpose / caveat. Authoritative reference: https://github.com/vmware/vsphere-supervisor/blob/main/port-and-protocols.md,,,,,docs/07-firewall-ports.md carries the curated VCF flows by zone.
Firewall flows,Admin jump host (VPN / VDI / terminal server),Internet / proxy,443,TCP,,Mandatory,"Download installation files, VKS OVAs, repo config (or via the offline depot)."
Firewall flows,Admin jump host,vCenter Server,443,TCP,,Mandatory,Supervisor configuration.
Firewall flows,Admin jump host,vCenter Server,22,TCP,,Optional,Troubleshooting.
Firewall flows,Admin jump host,VPC External IP subnet (per VPC),"443, 80, 6443",TCP,,Mandatory,Supervisor config + reach HTTPS/HTTP apps + Kubernetes API (kubectl) to Supervisor and guest clusters.
Firewall flows,Admin jump host,Avi Controller(s),"443, 22",TCP,,Optional,Avi configuration / troubleshooting (only if Avi in scope).
Firewall flows,Admin jump host,NSX Manager(s),443,TCP,,Mandatory,Supervisor / VPC configuration.
Firewall flows,Admin jump host,Supervisor control-plane IP range,"6443, 22",TCP,,Optional,Direct API / SSH to control-plane nodes for troubleshooting.
Firewall flows,Supervisor control-plane IP range,Supervisor control-plane IP range,Any,TCP/UDP,,Mandatory,"Internal control-plane traffic - often seen at firewalls. If an Any rule is not possible, follow the vsphere-supervisor port-and-protocols doc."
Firewall flows,Supervisor control-plane IP range,DNS server,53,UDP,,Mandatory,DNS.
Firewall flows,Supervisor control-plane IP range,NTP server,123,UDP,,Mandatory,NTP.
Firewall flows,Supervisor control-plane IP range,vCenter Server,443,TCP,,Optional,Create VMs and storage volumes (optional if a shared management network).
Firewall flows,Supervisor control-plane IP range,NSX Manager,443,TCP,,Optional,Orchestrate networking (optional if a shared management network).
Firewall flows,Supervisor control-plane IP range,ESXi hosts,10250,TCP,,Mandatory,Supervisor -> Spherelet on ESXi hosts (for vSphere Pods).
Firewall flows,Supervisor control-plane IP range,Avi Controller(s),443,TCP,,Optional,Supervisor -> Avi (only if Avi in scope; optional if a shared management network).
Firewall flows,ESXi hosts,Supervisor control-plane IP range,6443,TCP,,Mandatory,Spherelet -> Supervisor (for vSphere Pods).
Firewall flows,ESXi hosts,vCenter Server,5580,TCP,,Mandatory,vSphere Pod service.
Firewall flows,vCenter Server,Supervisor control-plane IP range,"443, 6443, 5000",TCP,,Optional,Manage Supervisor VMs + reach the internal Supervisor registry (optional if a shared management network).
Firewall flows,vCenter Server,Supervisor control-plane IP range,22,TCP,,Optional,Admin access to Supervisor VMs through vCenter.
Firewall flows,NSX Manager,Supervisor control-plane IP range,6443,TCP,,Optional,NSX integration (optional if a shared management network).
Firewall flows,VPC External IP subnet (per VPC),DNS server / NTP server,53 / 123,UDP,,Mandatory,DNS / NTP for workloads.
Firewall flows,VPC External IP subnet (per VPC),Avi Controller(s),443,TCP,,Optional,AKO on guest clusters for L7 ingress (only if Avi in scope).
Firewall flows,VPC External IP subnet (per VPC),Supervisor control-plane IP range,6443,TCP,,Mandatory,Guest clusters register with the Supervisor.
Firewall flows,VPC External IP subnet (per VPC),NSX Manager(s),"443, 1234, 1235",TCP,,Mandatory,Antrea NSX adapter <-> NSX Manager.
Firewall flows,vCenter Server,wp-content.broadcom.com (or via proxy),443,TCP,,Mandatory,Content Library subscription: /supervisor/v1/latest/lib.json (Supervisor images) and /v2/latest/lib.json (VKS releases).
